date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2020-03-31,19644000000.0,97585000000.0,1.17229e+11,21825000000.0,889000000.0,1.47018e+11,11219000000.0,22574000000.0,12367000000.0,730000000.0,1.26385e+11,2.73403e+11,4099000000.0,350000000.0,40189000000.0,5016000000.0,5366000000.0,1938000000.0,913000000.0,0.0,9872000000.0,69744000000.0,53687999999.999,1.51068e+11,2.03659e+11,1.09952e+11,-14278000000.0,0.0,19683000000.0
2019-12-31,18498000000.0,1.01177e+11,1.19675e+11,25326000000.0,999000000.0,1.52578e+11,10941000000.0,22603000000.0,13078000000.0,721000000.0,1.23331e+11,2.75909e+11,5561000000.0,358000000.0,45221000000.0,4554000000.0,4912000000.0,1908000000.0,274000000.0,0.0,9147000000.0,74467000000.0,50551999999.999,1.52122e+11,2.01442e+11,1.14255e+11,-13586000000.0,0.0,20099000000.0
2019-09-30,16032000000.0,1.05145e+11,1.21177e+11,20889000000.0,1401000000.0,1.48358e+11,69252000000.0,19816000000.0,12488000000.0,564000000.0,1.14686e+11,2.63044e+11,4142000000.0,364000000.0,39224000000.0,4082000000.0,4446000000.0,1679000000.0,131000000.0,0.0,7830000000.0,68075000000.0,49039999999.999,1.47125e+11,1.94969e+11,1.17633e+11,-11586000000.0,0.0,21021000000.0
2019-06-30,16587000000.0,1.04469e+11,1.21056e+11,20965000000.0,964000000.0,1.47437e+11,64891000000.0,19902000000.0,12112000000.0,585000000.0,1.09664e+11,2.57101e+11,3925000000.0,387000000.0,37000000000.0,4074000000.0,4461000000.0,1717000000.0,536000000.0,0.0,7852000000.0,64909000000.0,47936999999.999,1.45346e+11,1.92192e+11,1.16581e+11,-12126000000.0,0.0,20057000000.0
2019-03-31,19148000000.0,94340000000.0,1.13488e+11,19149000000.0,1053000000.0,1.38207e+11,60528000000.0,20006000000.0,14474000000.0,750000000.0,1.07142e+11,2.45349e+11,3710000000.0,391000000.0,34910000000.0,4066000000.0,4457000000.0,1667000000.0,761000000.0,0.0,7156000000.0,61877000000.0,46531999999.999,1.3872e+11,1.83472e+11,1.08814e+11,-14691000000.0,0.0,19811000000.0
2018-12-31,16701000000.0,92439000000.0,1.0914e+11,20838000000.0,1107000000.0,1.35676e+11,59719000000.0,20108000000.0,13859000000.0,737000000.0,97116000000.0,2.32792e+11,4378000000.0,396000000.0,34620000000.0,4012000000.0,4408000000.0,1784000000.0,69000000.0,0.0,9217000000.0,55164000000.0,45048999999.999,1.34885e+11,1.77628e+11,1.06298e+11,-12293000000.0,0.0,11327000000.0
2018-09-30,13443000000.0,92973000000.0,1.06416e+11,17897000000.0,1212000000.0,1.29702e+11,55300000000.0,20343000000.0,12673000000.0,682000000.0,91836000000.0,2.21538e+11,3789000000.0,317000000.0,31301000000.0,3986000000.0,4303000000.0,1752000000.0,0.0,0.0,8835000000.0,51698000000.0,43110999999.999,1.28405e+11,1.6984e+11,1.05646e+11,-9140000000.0,0.0,11562000000.0
2018-06-30,14148000000.0,88106000000.0,1.02254e+11,17043000000.0,698000000.0,1.24157e+11,51672000000.0,20557000000.0,11487000000.0,685000000.0,87453000000.0,2.1161e+11,3369000000.0,358000000.0,29903000000.0,3981000000.0,4339000000.0,1714000000.0,1189000000.0,0.0,8055000000.0,49610000000.0,42242999999.999,1.21282e+11,1.62e+11,99593000000.0,-9809000000.0,0.0,11652000000.0
2018-03-31,12658000000.0,90227000000.0,1.02885e+11,16777000000.0,636000000.0,1.23761e+11,48845000000.0,20671000000.0,10976000000.0,678000000.0,83174000000.0,2.06935e+11,3526000000.0,1329000000.0,25394000000.0,3973000000.0,5302000000.0,1596000000.0,1343000000.0,0.0,7831000000.0,46110000000.0,41486999999.999,1.20008e+11,1.60825e+11,1.01203e+11,-7356000000.0,0.0,12885000000.0
2017-12-31,10715000000.0,91156000000.0,1.01871e+11,18336000000.0,749000000.0,1.24308e+11,42383000000.0,19439000000.0,7813000000.0,680000000.0,72987000000.0,1.97295e+11,3137000000.0,0.0,24183000000.0,3969000000.0,3969000000.0,1432000000.0,881000000.0,0.0,7798000000.0,44793000000.0,40246999999.999,1.13247e+11,1.52502e+11,98969000000.0,-6746000000.0,0.0,12812000000.0
2017-09-30,10581000000.0,89562000000.0,1.00143e+11,15295000000.0,765000000.0,1.19345e+11,40120000000.0,19614000000.0,7269000000.0,505000000.0,70191000000.0,1.89536e+11,2674000000.0,0.0,20693000000.0,3964000000.0,3964000000.0,1269000000.0,221000000.0,0.0,7385000000.0,32436000000.0,39608999999.999,1.18237e+11,1.571e+11,96831000000.0,-6617000000.0,0.0,4358000000.0
2017-06-30,15711000000.0,79002000000.0,94713000000.0,14003000000.0,398000000.0,1.12386e+11,37676000000.0,19537000000.0,6642000000.0,376000000.0,66235000000.0,1.78621e+11,2488000000.0,0.0,18685000000.0,3955000000.0,3955000000.0,1226000000.0,133000000.0,0.0,7522000000.0,30335000000.0,38508999999.999,1.11505e+11,1.48286e+11,85644000000.0,-11756000000.0,0.0,4128000000.0
2017-03-31,18132000000.0,74307000000.0,92439000000.0,12913000000.0,280000000.0,1.08794e+11,35936000000.0,19684000000.0,6131000000.0,56000000.0,63962000000.0,1.72756e+11,2306000000.0,0.0,15256000000.0,3937000000.0,3937000000.0,1148000000.0,803000000.0,0.0,7627000000.0,27807000000.0,37697999999.999,1.0942e+11,1.44949e+11,80438000000.0,-14195000000.0,0.0,4924000000.0
2016-12-31,12918000000.0,73415000000.0,86333000000.0,14137000000.0,268000000.0,1.05408e+11,34234000000.0,19775000000.0,5878000000.0,95000000.0,62089000000.0,1.67497e+11,2041000000.0,0.0,16756000000.0,3935000000.0,3935000000.0,1099000000.0,554000000.0,0.0,7028000000.0,28461000000.0,36306999999.999,1.05131e+11,1.39036e+11,79293000000.0,-8983000000.0,0.0,4677000000.0
2016-09-30,9406000000.0,73650000000.0,83056000000.0,11979000000.0,559000000.0,98546000000.0,32753000000.0,19395000000.0,5705000000.0,416000000.0,61402000000.0,1.59948e+11,2175000000.0,0.0,14323000000.0,3938000000.0,3938000000.0,923000000.0,171000000.0,0.0,7061000000.0,25845000000.0,35336999999.999,99798000000.0,1.34103e+11,79355000000.0,-5468000000.0,0.0,4461000000.0
2016-06-30,13627000000.0,64833000000.0,78460000000.0,11686000000.0,0.0,94238000000.0,31413000000.0,19293000000.0,5820000000.0,576000000.0,60054000000.0,1.54292e+11,1716000000.0,2219000000.0,17341000000.0,1984000000.0,4203000000.0,900000000.0,185000000.0,0.0,4937000000.0,26413000000.0,34292999999.999,94737000000.0,1.27879e+11,70653000000.0,-9424000000.0,0.0,4135000000.0
2016-03-31,15111000000.0,60153000000.0,75264000000.0,10818000000.0,0.0,90955000000.0,30162000000.0,19523000000.0,5577000000.0,1804000000.0,58792000000.0,1.49747e+11,1667000000.0,3221000000.0,17684000000.0,1987000000.0,5208000000.0,933000000.0,330000000.0,0.0,4682000000.0,26178000000.0,33694999999.999,91168000000.0,1.23569e+11,65730000000.0,-9903000000.0,0.0,3812000000.0
2015-12-31,16549000000.0,56517000000.0,73066000000.0,11556000000.0,0.0,90114000000.0,29016000000.0,19716000000.0,5183000000.0,1903000000.0,57347000000.0,1.47461e+11,1931000000.0,3225000000.0,19310000000.0,1995000000.0,5220000000.0,788000000.0,302000000.0,0.0,4157000000.0,27130000000.0,32981313000,89223000000.0,1.20331e+11,61700000000.0,-11329000000.0,0.0,3663000000.0
2015-09-30,18068000000.0,54699000000.0,72767000000.0,9749000000.0,0.0,88103000000.0,28338000000.0,19698000000.0,4813000000.0,2212000000.0,56178000000.0,1.44281e+11,1549000000.0,3237000000.0,18457000000.0,1994000000.0,5231000000.0,705000000.0,215000000.0,0.0,5987000000.0,28040000000.0,31863709000,85969000000.0,1.16241e+11,59512000000.0,-12837000000.0,0.0,3596000000.0
2015-06-30,18453000000.0,51327000000.0,69780000000.0,10019000000.0,0.0,84164000000.0,27008000000.0,19823000000.0,4409000000.0,1316000000.0,54643000000.0,138807000000.0,4009000000.0,3008000000.0,17362000000.0,2225000000.0,5233000000.0,2643000000.0,6317000000.0,0.0,9662000000.0,27024000000.0,-929000000.0,81990000000.0,111783000000.0,55736000000.0,-64547000000.0,4365000000.0,10345000000.0
2015-03-31,16976000000.0,48460000000.0,65436000000.0,9409000000.0,0.0,80313000000.0,25448000000.0,19953000000.0,4090000000.0,1748000000.0,53087000000.0,133400000000.0,3345000000.0,2009000000.0,14336000000.0,3226000000.0,5235000000.0,2547000000.0,5685000000.0,0.0,10616000000.0,24952000000.0,-371000000.0,79292000000.0,108448000000.0,52550000000.0,-60201000000.0,5468000000.0,8982000000.0
2014-12-31,18347000000.0,46048000000.0,64395000000.0,10258000000.0,0.0,78656000000.0,23883000000.0,20206000000.0,3079000000.0,767000000.0,50531000000.0,129187000000.0,4493000000.0,2009000000.0,16779000000.0,3228000000.0,5237000000.0,2808000000.0,4194000000.0,0.0,8548000000.0,25327000000.0,27000000.0,75066000000.0,103860000000.0,49127000000.0,-59158000000.0,4003000000.0,10277000000.0
2014-09-30,15605000000.0,46552000000.0,62157000000.0,9062000000.0,279000000.0,80115000000.0,20981000000.0,20205000000.0,2470000000.0,2329000000.0,45666000000.0,125781000000.0,4770000000.0,2009000000.0,17920000000.0,3230000000.0,5239000000.0,2735000000.0,4671000000.0,0.0,9046000000.0,26966000000.0,-82000000.0,70949000000.0,98815000000.0,49022000000.0,-56918000000.0,8617000000.0,11141000000.0
2014-06-30,19620000000.0,41584000000.0,61204000000.0,8421000000.0,293000000.0,77905000000.0,19486000000.0,19820000000.0,2415000000.0,2276000000.0,43703000000.0,121608000000.0,4431000000.0,2009000000.0,17097000000.0,3232000000.0,5241000000.0,2661000000.0,4627000000.0,0.0,8762000000.0,25859000000.0,502000000.0,68136000000.0,95749000000.0,43999000000.0,-55963000000.0,7987000000.0,10657000000.0
2014-03-31,16639000000.0,42740000000.0,59379000000.0,7877000000.0,337000000.0,75314000000.0,17877000000.0,19494000000.0,2123000000.0,1710000000.0,41212000000.0,116526000000.0,3776000000.0,3009000000.0,16270000000.0,3234000000.0,6243000000.0,2724000000.0,4674000000.0,0.0,8545000000.0,24815000000.0,345000000.0,64714000000.0,91711000000.0,44863000000.0,-53136000000.0,7721000000.0,9485000000.0
2013-12-31,18898000000.0,39819000000.0,58717000000.0,8982000000.0,0.0,72886000000.0,16524000000.0,17558000000.0,1976000000.0,1934000000.0,38034000000.0,110920000000.0,3827000000.0,3009000000.0,15908000000.0,2236000000.0,5245000000.0,2930000000.0,4609000000.0,0.0,7703000000.0,23611000000.0,125000000.0,61262000000.0,87309000000.0,41795000000.0,-53472000000.0,5187000000.0,9072000000.0
2013-09-30,15242000000.0,41281000000.0,56523000000.0,8021000000.0,235000000.0,68858000000.0,14867000000.0,17716000000.0,1843000000.0,1725000000.0,36210000000.0,105068000000.0,4017000000.0,3009000000.0,14475000000.0,2238000000.0,5247000000.0,2504000000.0,4531000000.0,0.0,7604000000.0,22079000000.0,99000000.0,57886000000.0,82989000000.0,43124000000.0,-51276000000.0,4079000000.0,7449000000.0
